MessageChannelPartitionHandler in version 1.2.1 is not listening on replyChannel
MessageChannelPartitionHandler in version 1.2.1 is creating new QueueChannel instead of getting it from the instance variable. In version 1.2.0, it is working fine. There is a property tag we can set in version 1.2.0 but not in version 1.2.1.
	&lt;bean id="partitionHandler"
		class="org.springframework.batch.integration.partition.MessageChannelPartitionHandler"&gt;
		&lt;property name="messagingOperations"&gt;
			&lt;bean class="org.springframework.integration.core.MessagingTemplate"&gt;
				&lt;property name="defaultChannel" ref="request" /&gt;
				&lt;property name="receiveTimeout" value="10000" /&gt;
			&lt;/bean&gt;
		&lt;/property&gt;
		&lt;property name="replyChannel" ref="reply" /&gt;
		&lt;property name="stepName" value="step1" /&gt;
		&lt;property name="gridSize" value="2" /&gt;
	&lt;/bean&gt;
